┏━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━┳━━━━━━━━━━━━━━┳━━━━━━━━━━━━━┳━━━━━━━━━━━━━━┓
┃ Macro/Instance ┃ Power Pins ┃ Disconnected ┃ Signal Pins ┃ Disconnected ┃
┡━━━━━━━━━━━━━━━━╇━━━━━━━━━━━━╇━━━━━━━━━━━━━━╇━━━━━━━━━━━━━╇━━━━━━━━━━━━━━┩
│ riscv_soc_top  │ VGND       │              │ clk         │ uart_rx      │
│                │ VPWR       │              │ led[0]      │              │
│                │            │              │ led[1]      │              │
│                │            │              │ led[2]      │              │
│                │            │              │ led[3]      │              │
│                │            │              │ led[4]      │              │
│                │            │              │ led[5]      │              │
│                │            │              │ led[6]      │              │
│                │            │              │ led[7]      │              │
│                │            │              │ rst_n       │              │
│                │            │              │ uart_tx     │              │
└────────────────┴────────────┴──────────────┴─────────────┴──────────────┘
