net,length_um
clknet_0_clk,299.44µm
net82,157.12µm
_0092_,132.84µm
clk,119.31µm
net20,118.5µm
net81,117.54µm
_0096_,113.63µm
net36,108.32µm
_0246_,100.24µm
net66,91.56µm
net49,88.2µm
net27,87.42µm
net29,86.09µm
net13,86µm
_0108_,85.765µm
u_gpio.led4_active,85.4µm
net12,84.61µm
_0238_,83.76µm
net26,82.46µm
net83,81.88µm
net34,81.84µm
net22,80.88µm
net30,80.46µm
net69,77.67µm
net18,77.48µm
net23,77.29µm
net75,77.25µm
net9,77.1µm
net11,75.8µm
net37,74.38µm
net33,74.32µm
net10,74.17µm
_0071_,73.73µm
net32,72.86µm
net53,71.54µm
net17,71.02µm
net14,69.52µm
net84,69.11µm
net61,68.66µm
m_wvalid\[0\],68.44µm
clknet_5_19__leaf_clk,67.72µm
net41,67.63µm
net40,67.6µm
net46,67.17µm
net54,66.46µm
net47,65.86µm
net56,65.19µm
net39,64.9µm
net52,64.16µm
net24,63.96µm
net64,63.82µm
clknet_5_17__leaf_clk,62.44µm
net71,62.13µm
clknet_5_7__leaf_clk,61.96µm
net44,61.56µm
net21,61.53µm
clknet_5_13__leaf_clk,60.96µm
clknet_5_16__leaf_clk,60.96µm
clknet_5_11__leaf_clk,60.68µm
net72,60.07µm
u_uart.tx_state_q\[2\],59.94µm
net25,59.92µm
clknet_5_6__leaf_clk,59.08µm
clknet_5_25__leaf_clk,58.94µm
clknet_5_28__leaf_clk,58.76µm
net42,58.66µm
net16,58.6µm
net76,57.33µm
net19,57.175µm
clknet_5_0__leaf_clk,57.1µm
_0215_,56.98µm
clknet_5_10__leaf_clk,55.51µm
u_coh.coh_state\[0\],55.04µm
net78,54.98µm
_0244_,54.95µm
m_arvalid\[1\],54.615µm
net38,54.33µm
net50,54.3µm
net79,54.24µm
clknet_5_9__leaf_clk,54.06µm
clknet_5_29__leaf_clk,54.02µm
clknet_5_24__leaf_clk,54µm
_0256_,53.56µm
clknet_5_8__leaf_clk,53.32µm
clknet_5_23__leaf_clk,53.12µm
net8,52.84µm
_0174_,52.71µm
_0166_,52.58µm
net63,52.56µm
net80,52.28µm
_0123_,51.48µm
clknet_5_27__leaf_clk,51.4µm
net59,51.31µm
clknet_5_26__leaf_clk,51.04µm
net57,51.03µm
clknet_5_3__leaf_clk,51µm
net109,50.82µm
_0099_,50.025µm
coh_write_notify\[1\],49.74µm
net62,49.72µm
_0161_,49.22µm
_0072_,48.78µm
s_rvalid,48.265µm
_0193_,47.78µm
s_bvalid,47.66µm
_0190_,47.46µm
net60,47.29µm
net67,47.21µm
m_wvalid\[1\],46.8µm
net74,46.75µm
_0196_,46.5µm
_0075_,46.4µm
clknet_5_15__leaf_clk,46.08µm
coh_write_notify\[0\],46.055µm
_0226_,45.53µm
clknet_5_1__leaf_clk,45.18µm
_0221_,44.54µm
u_uart.tx_state_q\[0\],44.5µm
clknet_5_22__leaf_clk,44.34µm
clknet_5_2__leaf_clk,44.26µm
coh_fill_notify\[0\],44.14µm
_0089_,44.08µm
clknet_5_21__leaf_clk,44.02µm
_0180_,43.6µm
_0209_,43.58µm
_0236_,43.52µm
_0203_,42.76µm
_0088_,41.54µm
clknet_5_12__leaf_clk,41.5µm
clknet_5_31__leaf_clk,41.3µm
net45,40.86µm
net15,40.78µm
_0257_,40.5µm
u_uart.tx_baud_cnt_q\[0\],40.03µm
net65,39.95µm
net28,39.79µm
clknet_5_20__leaf_clk,39.7µm
clknet_5_30__leaf_clk,39.66µm
_0249_,39.14µm
_0201_,39.06µm
_0224_,38.54µm
_0418_,38.18µm
clknet_5_18__leaf_clk,38.16µm
net48,38.09µm
_0152_,37.86µm
clknet_4_9_0_clk,37.64µm
_0230_,37.48µm
u_gpio.led1_cnt_q\[4\],37.26µm
