Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_53_318,VPWR,li1,152.2600,155.0400,1.799995
FILLER_53_315,VPWR,li1,151.1100,155.0400,1.799995
FILLER_53_312,VPWR,li1,149.7300,155.0400,1.799995
FILLER_53_309,VPWR,li1,148.3500,155.0400,1.799995
FILLER_53_305,VPWR,li1,146.5100,155.0400,1.799995
FILLER_53_302,VPWR,li1,145.1300,155.0400,1.799995
FILLER_53_299,VPWR,li1,143.7500,155.0400,1.799995
FILLER_53_290,VPWR,li1,139.1500,155.0400,1.799995
FILLER_53_287,VPWR,li1,138.2300,155.0400,1.799995
FILLER_53_284,VPWR,li1,136.8500,155.0400,1.799995
FILLER_53_281,VPWR,li1,135.4700,155.0400,1.799995
FILLER_53_271,VPWR,li1,130.4100,155.0400,1.799996
FILLER_53_268,VPWR,li1,129.4900,155.0400,1.799996
FILLER_53_265,VPWR,li1,128.1100,155.0400,1.799996
FILLER_53_262,VPWR,li1,126.7300,155.0400,1.799996
FILLER_53_259,VPWR,li1,125.3500,155.0400,1.799997
FILLER_53_256,VPWR,li1,123.9700,155.0400,1.799997
FILLER_53_253,VPWR,li1,122.5900,155.0400,1.799997
FILLER_53_249,VPWR,li1,120.7500,155.0400,1.799997
FILLER_53_246,VPWR,li1,119.3700,155.0400,1.799997
FILLER_53_243,VPWR,li1,117.9900,155.0400,1.799997
FILLER_53_240,VPWR,li1,116.6100,155.0400,1.799998
FILLER_53_237,VPWR,li1,115.2300,155.0400,1.799998
FILLER_53_234,VPWR,li1,113.8500,155.0400,1.799998
FILLER_53_231,VPWR,li1,112.4700,155.0400,1.799998
FILLER_53_228,VPWR,li1,111.0900,155.0400,1.799998
FILLER_53_225,VPWR,li1,109.7100,155.0400,1.799998
FILLER_53_223,VPWR,li1,108.3300,155.0400,1.799998
FILLER_53_220,VPWR,li1,107.4100,155.0400,1.799998
FILLER_53_217,VPWR,li1,106.0300,155.0400,1.799999
FILLER_53_214,VPWR,li1,104.6500,155.0400,1.799999
FILLER_53_211,VPWR,li1,103.2700,155.0400,1.799999
FILLER_53_208,VPWR,li1,101.8900,155.0400,1.799999
FILLER_53_203,VPWR,li1,99.3600,155.0400,1.799999
FILLER_53_200,VPWR,li1,98.2100,155.0400,1.799999
FILLER_53_197,VPWR,li1,96.8300,155.0400,1.799999
FILLER_53_193,VPWR,li1,94.9900,155.0400,1.799999
FILLER_53_190,VPWR,li1,93.6100,155.0400,1.799999
FILLER_53_187,VPWR,li1,92.2300,155.0400,1.799999
FILLER_53_184,VPWR,li1,90.8500,155.0400,1.799999
FILLER_53_181,VPWR,li1,89.4700,155.0400,1.799999
FILLER_53_178,VPWR,li1,88.0900,155.0400,1.799999
FILLER_53_175,VPWR,li1,86.7100,155.0400,1.799999
FILLER_53_172,VPWR,li1,85.3300,155.0400,1.799999
FILLER_53_169,VPWR,li1,83.9500,155.0400,1.799999
FILLER_53_165,VPWR,li1,82.1100,155.0400,1.799999
FILLER_53_162,VPWR,li1,80.7300,155.0400,1.799999
FILLER_53_159,VPWR,li1,79.3500,155.0400,1.800000
FILLER_53_156,VPWR,li1,77.9700,155.0400,1.800000
FILLER_53_153,VPWR,li1,76.5900,155.0400,1.800000
FILLER_53_150,VPWR,li1,75.2100,155.0400,1.800000
FILLER_53_147,VPWR,li1,73.8300,155.0400,1.800000
FILLER_53_144,VPWR,li1,72.4500,155.0400,1.800000
FILLER_53_141,VPWR,li1,71.0700,155.0400,1.800000
FILLER_53_138,VPWR,li1,69.4600,155.0400,1.800000
FILLER_53_128,VPWR,li1,64.8600,155.0400,1.800000
FILLER_53_125,VPWR,li1,63.7100,155.0400,1.800000
FILLER_53_122,VPWR,li1,62.3300,155.0400,1.800000
FILLER_53_116,VPWR,li1,59.5700,155.0400,1.800000
FILLER_53_113,VPWR,li1,58.1900,155.0400,1.800000
FILLER_53_110,VPWR,li1,56.5800,155.0400,1.800000
FILLER_53_107,VPWR,li1,55.4300,155.0400,1.800000
FILLER_53_104,VPWR,li1,54.0500,155.0400,1.800000
FILLER_53_101,VPWR,li1,52.6700,155.0400,1.800000
FILLER_53_98,VPWR,li1,51.2900,155.0400,1.800000
FILLER_53_95,VPWR,li1,49.9100,155.0400,1.800000
FILLER_53_88,VPWR,li1,46.4600,155.0400,1.800000
FILLER_53_85,VPWR,li1,45.3100,155.0400,1.800000
FILLER_53_81,VPWR,li1,43.4700,155.0400,1.800000
FILLER_53_78,VPWR,li1,42.0900,155.0400,1.800000
FILLER_53_75,VPWR,li1,40.7100,155.0400,1.800000
FILLER_53_72,VPWR,li1,39.3300,155.0400,1.800000
FILLER_53_69,VPWR,li1,37.9500,155.0400,1.800000
FILLER_53_66,VPWR,li1,36.5700,155.0400,1.800000
FILLER_53_63,VPWR,li1,35.1900,155.0400,1.800000
FILLER_53_60,VPWR,li1,33.8100,155.0400,1.800000
FILLER_53_57,VPWR,li1,32.4300,155.0400,1.800000
FILLER_53_54,VPWR,li1,30.8200,155.0400,1.800000
FILLER_53_51,VPWR,li1,29.6700,155.0400,1.800000
FILLER_53_48,VPWR,li1,28.2900,155.0400,1.800000
FILLER_53_45,VPWR,li1,26.9100,155.0400,1.800000
FILLER_53_42,VPWR,li1,25.5300,155.0400,1.800000
FILLER_53_39,VPWR,li1,24.1500,155.0400,1.800000
FILLER_53_36,VPWR,li1,22.7700,155.0400,1.800000
FILLER_53_32,VPWR,li1,20.4700,155.0400,1.800000
FILLER_53_29,VPWR,li1,19.5500,155.0400,1.800000
FILLER_53_27,VPWR,li1,18.1700,155.0400,1.800000
FILLER_53_24,VPWR,li1,17.2500,155.0400,1.800000
FILLER_53_21,VPWR,li1,15.8700,155.0400,1.800000
FILLER_53_18,VPWR,li1,14.4900,155.0400,1.800000
FILLER_53_15,VPWR,li1,13.1100,155.0400,1.800000
FILLER_53_12,VPWR,li1,11.7300,155.0400,1.800000
FILLER_53_9,VPWR,li1,10.3500,155.0400,1.800000
FILLER_53_6,VPWR,li1,8.9700,155.0400,1.800000
FILLER_53_3,VPWR,li1,7.5900,155.0400,1.800000
FILLER_52_318,VPWR,li1,152.2600,155.0400,1.799995
FILLER_52_315,VPWR,li1,151.1100,155.0400,1.799995
FILLER_52_312,VPWR,li1,149.7300,155.0400,1.799995
FILLER_52_309,VPWR,li1,148.3500,155.0400,1.799995
FILLER_52_306,VPWR,li1,146.7400,155.0400,1.799995
FILLER_52_303,VPWR,li1,145.5900,155.0400,1.799995
FILLER_52_300,VPWR,li1,144.2100,155.0400,1.799995
FILLER_52_269,VPWR,li1,129.7200,155.0400,1.799996
FILLER_52_260,VPWR,li1,125.3500,155.0400,1.799997
FILLER_52_253,VPWR,li1,122.1300,155.0400,1.799997
FILLER_52_251,VPWR,li1,121.2100,155.0400,1.799997
FILLER_52_248,VPWR,li1,120.2900,155.0400,1.799997
FILLER_52_245,VPWR,li1,118.9100,155.0400,1.799997
FILLER_52_242,VPWR,li1,117.5300,155.0400,1.799997
FILLER_52_239,VPWR,li1,116.1500,155.0400,1.799998
FILLER_52_236,VPWR,li1,114.7700,155.0400,1.799998
FILLER_52_233,VPWR,li1,113.3900,155.0400,1.799998
FILLER_52_230,VPWR,li1,112.0100,155.0400,1.799998
FILLER_52_227,VPWR,li1,110.6300,155.0400,1.799998
FILLER_52_224,VPWR,li1,109.2500,155.0400,1.799998
FILLER_52_221,VPWR,li1,107.8700,155.0400,1.799998
FILLER_52_210,VPWR,li1,102.5800,155.0400,1.799999
FILLER_52_207,VPWR,li1,101.4300,155.0400,1.799999
FILLER_52_204,VPWR,li1,100.0500,155.0400,1.799999
FILLER_52_197,VPWR,li1,96.6000,155.0400,1.799999
FILLER_52_171,VPWR,li1,84.6400,155.0400,1.799999
FILLER_52_168,VPWR,li1,83.4900,155.0400,1.799999
FILLER_52_165,VPWR,li1,82.1100,155.0400,1.799999
FILLER_52_162,VPWR,li1,80.7300,155.0400,1.799999
FILLER_52_159,VPWR,li1,79.3500,155.0400,1.800000
FILLER_52_156,VPWR,li1,77.9700,155.0400,1.800000
FILLER_52_153,VPWR,li1,76.5900,155.0400,1.800000
FILLER_52_150,VPWR,li1,75.2100,155.0400,1.800000
FILLER_52_147,VPWR,li1,73.8300,155.0400,1.800000
FILLER_52_144,VPWR,li1,72.4500,155.0400,1.800000
FILLER_52_141,VPWR,li1,71.0700,155.0400,1.800000
FILLER_52_122,VPWR,li1,61.8700,155.0400,1.800000
FILLER_52_119,VPWR,li1,60.9500,155.0400,1.800000
FILLER_52_116,VPWR,li1,59.5700,155.0400,1.800000
FILLER_52_113,VPWR,li1,58.1900,155.0400,1.800000
FILLER_52_110,VPWR,li1,56.8100,155.0400,1.800000
FILLER_52_83,VPWR,li1,43.9300,155.0400,1.800000
FILLER_52_80,VPWR,li1,43.0100,155.0400,1.800000
FILLER_52_77,VPWR,li1,41.6300,155.0400,1.800000
FILLER_52_74,VPWR,li1,40.2500,155.0400,1.800000
FILLER_52_71,VPWR,li1,38.8700,155.0400,1.800000
FILLER_52_68,VPWR,li1,37.4900,155.0400,1.800000
FILLER_52_65,VPWR,li1,36.1100,155.0400,1.800000
FILLER_52_62,VPWR,li1,34.7300,155.0400,1.800000
FILLER_52_59,VPWR,li1,33.3500,155.0400,1.800000
FILLER_52_56,VPWR,li1,31.9700,155.0400,1.800000
FILLER_52_53,VPWR,li1,30.5900,155.0400,1.800000
FILLER_52_50,VPWR,li1,29.2100,155.0400,1.800000
FILLER_52_47,VPWR,li1,27.8300,155.0400,1.800000
FILLER_52_44,VPWR,li1,26.4500,155.0400,1.800000
FILLER_52_41,VPWR,li1,25.0700,155.0400,1.800000
FILLER_52_38,VPWR,li1,23.6900,155.0400,1.800000
FILLER_52_35,VPWR,li1,22.3100,155.0400,1.800000
FILLER_52_32,VPWR,li1,20.9300,155.0400,1.800000
FILLER_52_29,VPWR,li1,19.5500,155.0400,1.800000
FILLER_52_27,VPWR,li1,18.1700,155.0400,1.800000
FILLER_52_24,VPWR,li1,17.2500,155.0400,1.800000
FILLER_52_21,VPWR,li1,15.8700,155.0400,1.800000
FILLER_52_18,VPWR,li1,14.4900,155.0400,1.800000
FILLER_52_15,VPWR,li1,13.1100,155.0400,1.800000
FILLER_52_12,VPWR,li1,11.7300,155.0400,1.800000
FILLER_52_9,VPWR,li1,10.3500,155.0400,1.800000
FILLER_52_6,VPWR,li1,8.9700,155.0400,1.800000
FILLER_52_3,VPWR,li1,7.5900,155.0400,1.800000
FILLER_51_317,VPWR,li1,152.0300,149.6000,1.799984
FILLER_51_314,VPWR,li1,150.6500,149.6000,1.799984
FILLER_51_311,VPWR,li1,149.2700,149.6000,1.799984
FILLER_51_308,VPWR,li1,147.8900,149.6000,1.799984
FILLER_51_292,VPWR,li1,140.3000,149.6000,1.799984
FILLER_51_270,VPWR,li1,130.1800,149.6000,1.799985
FILLER_51_267,VPWR,li1,129.0300,149.6000,1.799985
FILLER_51_236,VPWR,li1,114.7700,149.6000,1.799989
FILLER_51_233,VPWR,li1,113.3900,149.6000,1.799989
FILLER_51_202,VPWR,li1,98.9000,149.6000,1.799995
FILLER_51_172,VPWR,li1,84.8700,149.6000,1.799990
FILLER_51_169,VPWR,li1,83.9500,149.6000,1.799990
FILLER_51_165,VPWR,li1,82.1100,149.6000,1.799989
FILLER_51_162,VPWR,li1,80.7300,149.6000,1.799989
FILLER_51_156,VPWR,li1,77.5100,149.6000,1.799989
FILLER_51_153,VPWR,li1,76.5900,149.6000,1.799988
FILLER_51_150,VPWR,li1,75.2100,149.6000,1.799988
FILLER_51_147,VPWR,li1,73.8300,149.6000,1.799988
FILLER_51_116,VPWR,li1,59.3400,149.6000,1.799987
FILLER_51_113,VPWR,li1,58.1900,149.6000,1.799987
FILLER_51_101,VPWR,li1,52.6700,149.6000,1.799987
FILLER_51_78,VPWR,li1,41.8600,149.6000,1.799989
FILLER_51_75,VPWR,li1,40.7100,149.6000,1.799990
FILLER_51_72,VPWR,li1,39.3300,149.6000,1.799990
FILLER_51_69,VPWR,li1,37.9500,149.6000,1.799990
FILLER_51_66,VPWR,li1,36.5700,149.6000,1.799991
FILLER_51_63,VPWR,li1,35.1900,149.6000,1.799991
FILLER_51_60,VPWR,li1,33.8100,149.6000,1.799991
FILLER_51_57,VPWR,li1,32.4300,149.6000,1.799992
FILLER_51_54,VPWR,li1,30.8200,149.6000,1.799993
FILLER_51_51,VPWR,li1,29.6700,149.6000,1.799993
FILLER_51_48,VPWR,li1,28.2900,149.6000,1.799993
FILLER_51_45,VPWR,li1,26.9100,149.6000,1.799994
FILLER_51_42,VPWR,li1,25.5300,149.6000,1.799994
FILLER_51_39,VPWR,li1,24.1500,149.6000,1.799994
FILLER_51_36,VPWR,li1,22.7700,149.6000,1.799995
FILLER_51_33,VPWR,li1,21.3900,149.6000,1.799995
FILLER_51_30,VPWR,li1,20.0100,149.6000,1.799995
FILLER_51_27,VPWR,li1,18.6300,149.6000,1.799996
FILLER_51_24,VPWR,li1,17.2500,149.6000,1.799996
FILLER_51_21,VPWR,li1,15.8700,149.6000,1.799997
FILLER_51_18,VPWR,li1,14.4900,149.6000,1.799997
FILLER_51_15,VPWR,li1,13.1100,149.6000,1.799998
FILLER_51_12,VPWR,li1,11.7300,149.6000,1.799998
FILLER_51_9,VPWR,li1,10.3500,149.6000,1.799998
FILLER_51_6,VPWR,li1,8.9700,149.6000,1.799998
FILLER_51_3,VPWR,li1,7.5900,149.6000,1.799998
FILLER_50_318,VPWR,li1,152.2600,149.6000,1.799984
FILLER_50_315,VPWR,li1,151.1100,149.6000,1.799984
FILLER_50_312,VPWR,li1,149.7300,149.6000,1.799984
FILLER_50_309,VPWR,li1,148.3500,149.6000,1.799984
FILLER_50_305,VPWR,li1,146.5100,149.6000,1.799984
FILLER_50_302,VPWR,li1,145.1300,149.6000,1.799984
FILLER_50_197,VPWR,li1,96.8300,149.6000,1.799994
FILLER_50_148,VPWR,li1,74.2900,149.6000,1.799988
FILLER_50_137,VPWR,li1,69.2300,149.6000,1.799987
FILLER_50_106,VPWR,li1,54.9700,149.6000,1.799987
FILLER_50_74,VPWR,li1,40.2500,149.6000,1.799990
FILLER_50_71,VPWR,li1,38.8700,149.6000,1.799990
FILLER_50_68,VPWR,li1,37.4900,149.6000,1.799990
FILLER_50_65,VPWR,li1,36.1100,149.6000,1.799991
FILLER_50_62,VPWR,li1,34.7300,149.6000,1.799991
FILLER_50_59,VPWR,li1,33.3500,149.6000,1.799991
FILLER_50_56,VPWR,li1,31.9700,149.6000,1.799992
FILLER_50_53,VPWR,li1,30.5900,149.6000,1.799993
FILLER_50_50,VPWR,li1,29.2100,149.6000,1.799993
FILLER_50_47,VPWR,li1,27.8300,149.6000,1.799993
FILLER_50_44,VPWR,li1,26.4500,149.6000,1.799994
FILLER_50_41,VPWR,li1,25.0700,149.6000,1.799994
FILLER_50_38,VPWR,li1,23.6900,149.6000,1.799994
FILLER_50_35,VPWR,li1,22.3100,149.6000,1.799995
FILLER_50_32,VPWR,li1,20.9300,149.6000,1.799995
FILLER_50_29,VPWR,li1,19.5500,149.6000,1.799995
FILLER_50_27,VPWR,li1,18.1700,149.6000,1.799996
FILLER_50_24,VPWR,li1,17.2500,149.6000,1.799996
FILLER_50_21,VPWR,li1,15.8700,149.6000,1.799997
FILLER_50_18,VPWR,li1,14.4900,149.6000,1.799997
FILLER_50_15,VPWR,li1,13.1100,149.6000,1.799998
FILLER_50_12,VPWR,li1,11.7300,149.6000,1.799998
FILLER_50_9,VPWR,li1,10.3500,149.6000,1.799998
FILLER_50_6,VPWR,li1,8.9700,149.6000,1.799998
FILLER_50_3,VPWR,li1,7.5900,149.6000,1.799998
FILLER_49_319,VPWR,li1,152.4900,144.1600,1.799987
FILLER_49_281,VPWR,li1,135.2400,144.1600,1.799988
FILLER_49_273,VPWR,li1,131.3300,144.1600,1.799989
FILLER_49_264,VPWR,li1,127.6500,144.1600,1.799989
FILLER_49_235,VPWR,li1,114.0800,144.1600,1.799991
FILLER_49_228,VPWR,li1,110.6300,144.1600,1.799992
FILLER_49_225,VPWR,li1,109.7100,144.1600,1.799992
FILLER_49_200,VPWR,li1,98.2100,144.1600,1.799995
FILLER_49_177,VPWR,li1,87.4000,144.1600,1.799992
FILLER_49_146,VPWR,li1,72.9100,144.1600,1.799988
FILLER_49_116,VPWR,li1,59.5700,144.1600,1.799988
FILLER_49_113,VPWR,li1,58.1900,144.1600,1.799988
FILLER_49_111,VPWR,li1,56.8100,144.1600,1.799988
FILLER_49_108,VPWR,li1,55.8900,144.1600,1.799988
FILLER_49_81,VPWR,li1,43.0100,144.1600,1.799990
FILLER_49_78,VPWR,li1,42.0900,144.1600,1.799990
FILLER_49_75,VPWR,li1,40.7100,144.1600,1.799990
FILLER_49_72,VPWR,li1,39.3300,144.1600,1.799991
FILLER_49_69,VPWR,li1,37.9500,144.1600,1.799991
FILLER_49_66,VPWR,li1,36.5700,144.1600,1.799991
FILLER_49_63,VPWR,li1,35.1900,144.1600,1.799991
FILLER_49_60,VPWR,li1,33.8100,144.1600,1.799991
FILLER_49_57,VPWR,li1,32.4300,144.1600,1.799992
FILLER_49_54,VPWR,li1,30.8200,144.1600,1.799992
FILLER_49_51,VPWR,li1,29.6700,144.1600,1.799992
FILLER_49_48,VPWR,li1,28.2900,144.1600,1.799993
FILLER_49_45,VPWR,li1,26.9100,144.1600,1.799993
FILLER_49_42,VPWR,li1,25.5300,144.1600,1.799994
FILLER_49_39,VPWR,li1,24.1500,144.1600,1.799994
FILLER_49_36,VPWR,li1,22.7700,144.1600,1.799994
FILLER_49_33,VPWR,li1,21.3900,144.1600,1.799995
FILLER_49_30,VPWR,li1,20.0100,144.1600,1.799996
FILLER_49_27,VPWR,li1,18.6300,144.1600,1.799996
FILLER_49_24,VPWR,li1,17.2500,144.1600,1.799996
FILLER_49_21,VPWR,li1,15.8700,144.1600,1.799996
FILLER_49_18,VPWR,li1,14.4900,144.1600,1.799997
FILLER_49_15,VPWR,li1,13.1100,144.1600,1.799998
FILLER_49_12,VPWR,li1,11.7300,144.1600,1.799998
FILLER_49_9,VPWR,li1,10.3500,144.1600,1.799998
FILLER_49_6,VPWR,li1,8.9700,144.1600,1.799998
